,Comments,Date,Disposition,Location,Occured,Reported,UCPDI
0,Sick person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,Kenwood between 51st & 52nd,1/1/18 1:28 AM,1/1/18 1:28 AM,18-00001
1,,:,,,,,
2,"UCPD officers arrested a subject for possession of marijuana and possession of 17 checks, none in his name",Possession of Narcotics,Arrest,5627 S. Dorchester (Public Way),1/2/18 5:35 AM,1/2/18 5:35 AM,18-00002
3,Wallet taken from purse placed near a table in cafe,Theft,Open,5700 S. Drexel (CCD - Starbucks),1/2/18 1:10 PM to 1:20 PM,1/2/18 2:25 PM,18-00003
4,Threat of bodily harm received via telephone by staff member from an unknown individual,Telephone Threat,Open,860 E. 59th St. (Goldblatt),1/2/18 9:35 AM,1/2/18 2:53 PM,18-00004
5,,:,,,,,
6,Underage individual became ill after consuming alcoholic beverages / Treated on the scene by CFD EMS,Liquor Law Violation,Referred,5500 S. University (Campus North RH),1/3/18 12:12 AM,1/3/18 12:12 AM,18-00005
7,"An individual walking on the sidewalk observed an unknown subject exit a blue or grey vehicle, possibly an Infiniti / The suspect approached and struck the victim on the shoulder, grabbed a cell phone from the victims hand, ran back to the waiting car that drove northbound / The victim reported no physical injuries.",Robbery,Open,5729 S. Maryland (Sidewalk),1/3/18 5:25 PM,1/3/18 5:34 PM,18-00006
8,"An individual walking southbound on the sidewalk passed a grey Infiniti parked at the curb /  An unknown subject exited the passengers side door and approached the victim from the rear, grabbed the victims shoulder and snatched a cell phone from the victims hand / The suspect reentered the car that made a U-turn driving northbound on Ellis Avenue / The suspects vehicle had an Illinois license plate S173185 / The victim reported no physical injuries.",Robbery,Open,5734 S Ellis (Sidewalk),1/3/18 5:45 PM,1/3/18 5:46 PM,18-00007
9,Sick person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,1101 E. 58th St. (Main Quad),1/3/18 4:53 PM,1/3/18 4:53 PM,18-00008
10,,:,,,,,
11,The passenger side window of a car parked at the curb was broken / Cause unknown,Damage to Property,Closed,5721 S. Cottage Grove (Public Way),1/3/18 2:30 PM to 11:55 PM,1/4/18 12:09 AM,18-00009
12,Individual reported that during a conversation another person grabbed the complainant by the arm in November 2017,Information,Closed,900 E. 57th St. (Knapp Center),11/8/17 11:00 AM,1/4/18 8:32 AM,18-00010
13,"Individual, who had been previously banned  from UC Medicine property, was arrested for trespass",Criminal Trespass,Arrest,5815 S. Maryland (Mitchell Hospital),1/4/18 4:19 PM,1/4/18 4:19 PM,18-00011
14,UCPD officer arrested a subject driving an Infiniti that was reported stolen in Wisconsin,Criminal Trespass to Vehicle,Arrest,1452 E. 53rd St.,1/4/18 11:06 PM,1/4/18 11:06 PM,18-00012
15,,:,,,,,
16,Door of UC owned vehicle struck a support beam in parking garage,Damage to Property,Closed,850 E. 61st St. (UCPD HQ),1/5/18 8:50 AM,1/5/18 9:11 AM,18-00013
17,First Transit employee turned over a Samsung cell phone found on a UC Shuttle bus / Inventoried for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),1/5/18 10:23 AM,1/5/18 10:23 AM,18-00014
18,Unknown person unlawfully entered off campus private apartment and took a wristwatch left on a kitchen counter / Victim accidentally left keys in front door of apartment / CPD case,Information / Burglary,CPD,Hyde Park between 55th & 56th,1/4/18 to 1/5/18 11:00 PM to 8:00 AM,1/5/18 10:58 AM,18-00015
19,"Unattended, unsecured purse left on chair in 6th floor hallway taken by unknown person",Theft,Open,5758 S. Maryland (DCAM),1/5/18 3:45 PM to 3:50 PM,1/5/18 4:46 PM,18-00016
20,Sick staff member taken to ER for evaluation and treatment,Medical Call,Closed,5700 S. Maryland (CCD),1/5/18 4:43 PM,1/5/18 4:43 PM,18-00017
21,"Unattended, unsecured backpack left at 9th floor coat rack was taken by unknown person / Subsequent to investigation, the suspect was identified but the victim declined to prosecute",Theft,Ex. Cleared,915 E. 60th St. (Logan Center),1/5/18 6:00 PM to 8:20 PM,1/5/18 8:27 PM,18-00018
22,Secured bicycle taken from bike rack,Theft,Open,1414 E. 59th St. (I-House),1/4/18 to 1/5/18 11:00 PM to 6:45 PM,1/5/18 8:16 PM,18-00019
23,"Two unknown suspects, one armed with a handgun, took cash, cell phone, and food from a food delivery driver off campus / CPD case JB105988",Information / Armed Robbery,CPD,5530 S. Cornell (Public Way),1/5/18 9:50 PM,1/5/18 10:16 PM,18-00020
24,Relative requested well-being check of individual / All was well,Well-Being Check,Closed,55th between Hyde Park and Everett,1/6/18 2:02 PM,1/6/18 2:02 PM,18-00021
25,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,5500 S. University (Campus North RH),1/7/18 2:02 AM,1/7/18 2:02 AM,18-00022
26,Broken pipe in roof top mechanical room caused water leakage into 11th & 12th floor offices,Information,Closed,5235 S. Harper,1/7/18 1:00 AM,1/7/18 12:21 PM,18-00023
27,Information relating to Facebook posts,Information,Closed,850 E. 61st St. (UCPD HQ),1/7/18 1:26 PM,1/7/18 1:26 PM,18-00024
28,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,1414 E. 59th St. (I-House),1/8/18 2:00 AM,1/8/18 2:00 AM,18-00025
29,Broken water pipe caused flooding in loading dock and elevator machine room,Information,Closed,5730 S. Ellis (Crerar Library),1/8/18 9:02 AM,1/8/18 9:02 AM,18-00026
30,Parked UC owned vehicle struck by another car causing minor property damage / No injuries reported / 2018-MVA0005,Traffic Crash,Closed,1025 E. 54th Pl.,1/8/18 12:01 PM,1/8/18 12:01 PM,18-00027
31,Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,5555 S. Woodlawn (Student Counseling Services),1/8/18 1:25 PM,1/8/18 1:25 PM,18-00028
32,First Transit supervisor turned over wallet found on UC Shuttle Bus / Inventoried at UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),1/8/18 11:04 AM,1/8/18 11:04 AM,18-00029
33,Broken sprinkler system pipe caused water damage to 2nd floor offices,Information,Closed,1452 E. 53rd St. (Polsky Exchange North),1/8/18 1:26 PM,1/8/18 1:26 PM,18-00030
34,"Subject, implying a weapon - no weapon seen - attempted to take cash from cash register, fled off campus shop without taking property / CPD case JB109141",Information / Attempt Aggravated Robbery,CPD,6300 S. Woodlawn (Coffee Shop),1/8/18 6:55 PM,1/8/18 7:01 PM,18-00031
35,iPhone found on the public way was inventoried at UCPD HQ for safekeeping,Found Property,Closed,5500 S. Kenwood,1/8/18 7:34 PM,1/8/18 7:34 PM,18-00032
36,An unknown suspect exited a car and snatched an iPhone from the hand of a victim standing on the sidewalk off campus before driving off / Victim reported no injuries / CPD case,Information / Theft from Person,CPD,5300 S. Woodlawn (Public Way),1/9/18 4:05 PM,1/9/18 4:10 PM,18-00033
37,"During a domestic argument, one brother displayed a folding knife and threatened his brother with bodily harm / Suspect detained by UCM Public Safety Officers and arrested by UCPD",Aggravated Assault / Domestic,Arrest,5700 S. Maryland (CCD),1/9/18 3:35 PM,1/9/18 3:39 PM,18-00034
