,Comments,Date,Disposition,Location,Occured,Reported,UCPDI
0,Individual reports losing cash while being treated in the Emergency Department,Lost Property,Closed,5656 S. Maryland (UCM ED),1/1/19 2:00 AM to 7:45 AM,1/1/19 7:48 AM,19-00001
1,An unauthorized subject ignored several previous warnings not to trespass on private property was arrested by UCPD,Criminal Trespass to Land,Arrest,1421 E. 53rd St.,1/2/19 7:44 AM,1/2/19 7:44 AM,19-00002
2,"An unattended, unsecured laptop was taken from a desk in unlocked office",Theft,Open,929 E. 57th St. (Gordon Center),1/2/19 12:15 PM to 12:30 PM,1/2/19 12:32 PM,19-00003
3,Individual reports losing bracelet while waiting in ED,Lost Property,Closed,5656 S. Maryland (UCMED),1/3/19 2:10 PM to 2:13 PM,1/3/19 2:13 PM,19-00004
4,Credit cards taken from unattended wallet left in unsecured locker / Unauthorized use of credit cards reported,Theft,Open,5530 S. Ellis (Ratner A.C.),1/3/19 5:00 PM to 5:30 PM,1/3/19 7:12 PM,19-00005
5,Information relating to dispute between staff members,Information,Closed,5700 S. Maryland (CCD),1/4/19 4:00 PM,1/4/19 7:32 PM,19-00006
6,UCPD officer arrested a motorist for DUI,DUI,Arrest,810 E. 55th St.,1/5/19 9:24 PM,1/5/19 9:24 PM,19-00007
7,Sick person transported to UCMED for evaluation and treatment,Medical Call,Closed,1009 E. 57th St. (Snell-Hitchcock RH),1/6/19 5:25 PM,1/6/19 5:25 PM,19-00008
8,Individual transported to UCMED for evaluation,Mental Health Transport,Closed,5500 S. University (Campus North RH),1/6/19 9:49 PM,1/6/19 9:49 PM,19-00009
9,Unknown suspects broke glass in front door of business and took a cash box / CPD case JC107547,Information / Burglary,CPD,1307 E. 53rd St. (Retail Establishment),1/7/19 3:50 AM,1/7/19 4:43 AM,19-00010
10,Staff member reports receipt of several unwanted email messages from a known individual,Information,Closed,5735 S. Ellis (Searle Lab),10/11/18 to 1/7/19  Various times,1/7/19 12:20 PM,19-00011
11,"Unattended, unsecured laptop taken from study cubicle in reading room",Theft,Open,5845 S. Greenwood (Stuart Hall),1/7/19 12:42 PM to 12:45 PM,1/7/19 1:28 PM,19-00012
12,"Wallet taken from unattended, unsecured purse left in unlocked office",Theft,Open,947 E. 58th St. (Abbott Hall),1/2/19 10:30 AM to 10:45 AM,1/7/19 2:01 PM,19-00013
13,Individual complaining of pain in arm transported to UCMED by CFD EMS for evaluation and treatment,Medical Call,Closed,5500 S. University (Campus North RH),1/7/19 6:35 PM,1/7/19 6:36 PM,19-00014
14,Information regarding a well-being check,Information,Closed,850 E. 61st St. (UCPD HQ),1/7/19 11:28 PM,1/7/19 11:28 PM,19-00015
15,Contract employee was struck by a vehicle / Injured person transported to hospital by CFD EMS for evaluation / CPD case JC108704,Information / Traffic Accident,CPD,5705 S. University (Public Way),1/7/19 11:49 PM,1/7/19 11:49 PM,19-00016
16,"Three unknown suspects, one armed with a handgun, took property from two victims standing at a CTA bus stop off campus / CPD case JC108801",Information / Armed Robbery,CPD,5495 S. Hyde Park (CTA Bus Stop),1/8/19 5:15 AM,1/8/19 5:20 AM,19-00017
17,A person walking on the sidewalk off campus was approached by an unknown suspect armed with a knife / The victim struggled with the suspect who fled on foot / CPD case JC108835,Information / Armed Robbery,CPD,1013 E. 53rd St. (Public Way),1/8/19 6:10 AM,1/8/19 6:39 AM,19-00018
18,Information regarding harassing text messages from an individual,Harassment by Electronic Means,Open,Kenwood between 58th & 59th,1/7/19 to 1/8/19 7:00 AM to 9:25 AM,1/8/19 11:12 AM,19-00019
19,UCPD officer detained a suspect who had committed a theft / Suspect turned over to and arrested by CPD  / CPD case JC109300,Assist Other Agency / Theft,CPD,5300 S. Lake Park (Public Way),1/8/19 1:40 PM,1/8/19 1:45 PM,19-00020
20,Report of a water leak from ceiling in room 147 / Facilities on the scene,Information,Closed,950 E. 61st St. (Woodlawn Social Service Center),1/9/19 5:24 AM,1/9/19 5:24 AM,19-00021
21,Individual found a key and turned it over to UCPD for safekeeping,Found Property,Closed,5801 S. Ellis (Quad),1/9/19 2:45 PM,1/9/19 2:45 PM,19-00022
22,Staff member found a small bag of marijuana in patient's room / Substance turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),1/9/19 11:17 PM,1/9/19 11:17 PM,19-00023
